Day,High,Low
1,83,48
2,76,64
3,65,44
4,49,37
5,63,36
6,67,42
7,71,46
8,69,43
9,61,49
10,55,46
11,61,41
12,59,39
13,71,58
14,64,54
15,54,52
16,58,49
17,63,48
18,53,45
19,57,35
20,69,46
21,60,44
22,61,36
23,61,34
24,70,45
25,77,50
26,71,43
27,76,52
28,68,42
29,50,34
30,56,30
31,45,33
